Grape Category,Image File Name,Type of File,Resolution,Bit Depth,Camera Maker,Camera Model,DPI,Max Aperture,ISO Speed,Light Source,Flash Mode,Date Created
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_brightness_contrast_iter1.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,53,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_horizontal_flip_iter1.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,51,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_rgb_shift_iter1.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,51,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_rotate_iter1.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_horizontal_flip_iter1.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_gamma_iter1.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_rotate_iter1.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_brightness_contrast_iter1.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115739_TIMEBURST19_3322_horizontal_flip_iter2.jpg,JPG,1122x1122,24,Xiaomi,2312DRAABI,72,f/0.0,51,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_rgb_shift_iter1.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,53,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_rotate_iter2.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,53,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_gamma_iter1.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,51,Daylight,16,29-05-2025 09:40
Black Round Fresh,black_round_fresh_IMG_20250412_115826_TIMEBURST1_3953_horizontal_flip_iter2.jpg,JPG,1066x1066,24,Xiaomi,2312DRAABI,72,f/0.0,53,Daylight,16,29-05-2025 09:40
