Grape Category,Image File Name,Type of File,Resolution,Bit Depth,Camera Maker,Camera Model,DPI,Max Aperture,ISO Speed,Light Source,Flash Mode,Date Created
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_rgb_shift_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_brightness_contrast_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_rgb_shift_iter4.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_gamma_iter4.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_gamma_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_horizontal_flip_iter4.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_brightness_contrast_iter4.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_rotate_iter4.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_rotate_iter5.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_rotate_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,54,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_horizontal_flip_iter5.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,54,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_gamma_iter4.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_gamma_iter5.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,56,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_horizontal_flip_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,56,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_brightness_contrast_iter5.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,56,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_brightness_contrast_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_rgb_shift_iter4.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,50,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_horizontal_flip_iter5.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,53,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_rotate_iter5.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_gamma_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST20_4493_rgb_shift_iter5.jpg,JPG,1612x1612,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST1_4402_rgb_shift_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,57,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_brightness_contrast_iter5.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,52,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_horizontal_flip_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,61,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rotate_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,61,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_gamma_iter5.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_gamma_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_brightness_contrast_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,59,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154003_TIMEBURST19_3945_rgb_shift_iter5.jpg,JPG,1698x1698,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_horizontal_flip_iter2.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rgb_shift_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,61,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_brightness_contrast_iter2.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rotate_iter2.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_horizontal_flip_iter3.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_gamma_iter2.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rotate_iter3.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,63,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_brightness_contrast_iter3.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,65,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rgb_shift_iter2.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,65,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_gamma_iter3.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,67,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_horizontal_flip_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,75,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rgb_shift_iter3.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,60,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rotate_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,67,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_brightness_contrast_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,72,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_rotate_iter1.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_gamma_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_horizontal_flip_iter1.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,67,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST4_4370_horizontal_flip_iter1.jpg,JPG,1616x1616,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST4_4370_brightness_contrast_iter1.jpg,JPG,1616x1616,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST4_4370_rotate_iter1.jpg,JPG,1616x1616,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rgb_shift_iter4.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_brightness_contrast_iter1.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_horizontal_flip_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,72,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_gamma_iter1.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_rotate_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,69,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST4_4370_gamma_iter1.jpg,JPG,1616x1616,24,Xiaomi,2312DRAABI,72,f/0.0,72,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST5_3960_rotate_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,72,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_rgb_shift_iter1.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,75,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_rotate_iter2.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,74,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST5_3960_horizontal_flip_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,75,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST5_3960_brightness_contrast_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,77,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST3_4585_horizontal_flip_iter2.jpg,JPG,1535x1535,24,Xiaomi,2312DRAABI,72,f/0.0,75,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST2_4354_gamma_iter5.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,81,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST4_4370_rgb_shift_iter1.jpg,JPG,1616x1616,24,Xiaomi,2312DRAABI,72,f/0.0,71,Daylight,16,29-05-2025 10:03
Black Round Rotten,black_round_rotten_IMG_20250418_154113_TIMEBURST5_3960_gamma_iter1.jpg,JPG,1458x1458,24,Xiaomi,2312DRAABI,72,f/0.0,85,Daylight,16,29-05-2025 10:03
